"107年04月11日 個股日本益比、殖利率及股價淨值比"
"證券代號","證券名稱","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"3006","晶豪科","5.24","106","13.44","1.60","106/4",
"3008","大立光","1.97","105","16.68","4.69","106/4",
"3010","華立","5.62","106","9.64","1.26","106/4",
"3011","今皓","0.00","105","-","0.71","106/4",
"3013","晟銘電","2.43","106","16.44","1.47","106/4",
"3014","聯陽","6.62","106","15.66","1.58","106/4",
"3015","全漢","5.99","106","15.27","0.59","106/4",
"3016","嘉晶","1.35","106","54.56","2.80","106/4",
"3017","奇鋐","4.51","106","11.47","1.18","106/4",
"3018","同開","0.24","105","96.05","6.12","106/4",
"3019","亞光","1.58","106","45.93","2.60","106/4",
"3021","鴻名","4.75","106","13.86","1.28","106/4",
"3022","威強電","7.94","105","13.45","1.61","106/4",
"3023","信邦","4.96","106","14.83","2.99","106/4",
"3024","憶聲","0.00","105","57.00","0.74","106/4",
"3025","星通","0.74","106","79.32","1.61","106/4",
"3026","禾伸堂","3.94","106","24.19","2.70","106/4",
"3027","盛達","1.58","105","-","0.78","106/4",
"3028","增你強","7.90","106","11.41","1.03","106/4",
"3029","零壹","5.88","105","12.75","1.20","106/4",
"3030","德律","5.52","106","21.55","2.56","106/4",
"3031","佰鴻","5.25","106","14.46","1.11","106/4",
"3032","偉訓","5.95","106","15.63","1.73","106/4",
"3033","威健","6.02","106","11.33","1.32","106/4",
"3034","聯詠","5.43","105","15.62","2.75","106/4",
"3035","智原","1.52","105","19.55","2.95","106/4",
"3036","文曄","5.12","105","10.29","1.29","106/4",
"3037","欣興","2.78","106","64.29","0.64","106/4",
"3038","全台","4.01","106","30.24","0.88","106/4",
"3040","遠見","14.88","106","5.47","1.97","106/4",
"3041","揚智","0.00","105","-","0.96","106/4",
"3042","晶技","7.23","105","12.46","1.32","106/4",
"3043","科風","0.00","105","-","13.74","106/4",
"3044","健鼎","4.53","105","11.29","1.61","106/4",
"3045","台灣大","5.09","105","21.11","5.02","106/4",
"3046","建碁","0.00","105","-","2.17","106/4",
"3047","訊舟","5.69","105","-","0.82","106/4",
"3048","益登","5.62","106","10.92","1.21","106/4",
"3049","和鑫","0.00","105","41.21","0.80","106/4",
"3050","鈺德","2.62","105","13.01","0.73","106/4",
"3051","力特","0.00","105","-","0.74","106/4",
"3052","夆典","3.23","105","9.30","0.63","106/4",
"3054","立萬利","1.92","106","30.14","1.60","106/4",
"3055","蔚華科","2.88","106","69.38","1.07","106/4",
"3056","總太","9.13","106","6.78","1.01","106/4",
"3057","喬鼎","0.00","105","-","1.22","106/4",
"3058","立德","5.75","105","-","0.61","106/4",
"3059","華晶科","1.73","106","577.00","0.88","106/4",
"3060","銘異","2.64","106","56.88","0.79","106/4",
"3062","建漢","4.41","105","42.21","1.07","106/4",
"3090","日電貿","5.42","106","16.91","3.03","106/4",
"3094","聯傑","3.96","106","36.61","1.60","106/4",
"3130","一零四","5.42","106","18.48","3.85","106/4",
"3149","正達","0.00","105","175.50","2.15","106/4",
"3164","景岳","0.00","105","53.43","1.81","106/4",
"3167","大量","2.88","105","12.01","2.36","106/4",
"3189","景碩","2.78","106","49.09","0.86","106/4",
"3209","全科","6.19","106","12.00","1.34","106/4",
"3229","晟鈦","0.00","105","-","2.18","106/4",
"3231","緯創","6.26","106","16.40","0.98","106/4",
"3257","虹冠電","2.17","105","58.63","2.57","106/4",
"3266","昇陽","0.00","105","138.75","0.77","106/4",
"3296","勝德","8.08","105","742.50","0.95","106/4",
"3305","昇貿","3.99","106","32.53","0.81","106/4",
"3308","聯德","0.00","105","-","0.85","106/4",
"3311","閎暉","0.00","105","-","0.83","106/4",
"3312","弘憶股","1.46","106","-","0.74","106/4",
"3321","同泰","0.00","105","-","1.45","106/4",
"3338","泰碩","1.32","106","45.60","1.61","106/4",
"3346","麗清","3.40","106","19.32","3.54","106/4",
"3356","奇偶","5.38","105","-","1.65","106/4",
"3376","新日興","3.57","105","20.49","1.25","106/4",
"3380","明泰","4.66","105","17.98","1.14","106/4",
"3383","新世紀","0.00","105","-","1.00","106/4",
"3406","玉晶光","1.03","106","32.43","4.63","106/4",
"3413","京鼎","1.92","105","17.17","5.09","106/4",
"3416","融程電","5.15","106","26.08","1.66","106/4",
"3419","譁裕","2.31","105","-","1.45","106/4",
"3432","台端","0.67","105","-","0.74","106/4",
"3437","榮創","1.09","105","47.06","1.37","106/4",
"3443","創意","1.63","106","47.96","10.13","106/4",
"3450","聯鈞","3.33","106","21.20","4.16","106/4",
"3454","晶睿","4.65","106","16.48","2.53","106/4",
"3481","群創","0.79","105","3.39","0.47","106/4",
"3494","誠研","0.00","105","-","0.97","106/4",
"3501","維熹","5.98","106","12.00","1.13","106/4",
"3504","揚明光","0.00","105","-","2.28","106/4",
"3514","昱晶","0.00","105","-","0.75","106/4",
"3515","華擎","4.58","106","22.50","1.84","106/4",
"3518","柏騰","1.76","105","-","1.13","106/4",
"3519","綠能","0.00","105","-","1.39","106/4",
"3528","安馳","6.87","106","14.16","1.65","106/4",
"3532","台勝科","1.80","106","39.97","4.13","106/4",
"3533","嘉澤","2.66","106","20.19","2.33","106/4",
"3535","晶彩科","0.00","105","-","1.31","106/4",
"3536","誠創","0.00","105","337.50","2.04","106/4",
"3545","敦泰","2.17","105","-","0.83","106/4",
"3550","聯穎","7.06","106","14.55","0.90","106/4",
"3557","嘉威","0.00","105","-","2.42","106/4",
"3561","昇陽光電","0.00","105","-","0.73","106/4",
"3576","新日光","0.00","105","-","1.17","106/4",
"3579","尚志","0.00","105","-","0.78","106/4",
"3583","辛耘","2.96","106","16.67","2.39","106/4",
"3588","通嘉","5.39","105","64.77","1.02","106/4",
"3591","艾笛森","0.00","105","-","0.63","106/4",
"3593","力銘","0.00","105","413.00","1.40","106/4",
"3596","智易","7.13","105","17.04","1.22","106/4",
"3605","宏致","1.51","106","43.36","0.81","106/4",
"3607","谷崧","2.79","106","-","0.68","106/4",
"3617","碩天","5.35","106","13.14","1.78","106/4",
"3622","洋華","1.79","106","-","0.63","106/4",
"3645","達邁","1.82","106","35.15","4.47","106/4",
"3653","健策","3.04","106","30.05","1.61","106/4",
"3661","世芯-KY","0.85","106","23.81","2.71","106/4",
"3665","貿聯-KY","2.92","106","23.86","3.65","106/4",
"3669","圓展","2.07","106","41.06","0.74","106/4",
"3673","TPK-KY","4.18","106","12.13","0.79","106/4",
"3679","新至陞","9.56","105","15.22","1.49","106/4",
"3682","亞太電","0.00","105","-","1.25","106/4",
"3686","達能","0.00","105","-","0.72","106/4",
"3694","海華","0.00","105","83.08","1.79","106/4",
"3698","隆達","1.04","106","76.80","0.86","106/4",
"3701","大眾控","0.00","105","25.86","1.50","106/4",
"3702","大聯大","5.85","105","9.79","1.39","106/4",
"3703","欣陸","4.36","106","14.32","0.51","106/4",
"3704","合勤控","1.46","105","-","0.75","106/4",
"3705","永信","4.77","106","21.71","1.90","106/4",
"3706","神達","8.41","106","10.31","0.77","106/4",
"3708","上緯投控","1.17","106","69.72","3.87","106/4",
"4104","佳醫","5.75","106","15.61","0.97","106/4",
"4106","雃博","2.60","106","21.65","1.60","106/4",
"4108","懷特","0.00","105","-","2.45","106/4",
"4119","旭富","3.35","106","26.75","1.74","106/4",
"4133","亞諾法","2.17","106","38.09","1.83","106/4",
"4137","麗豐-KY","3.71","106","29.42","4.93","106/4",
"4141","龍燈-KY","4.30","105","-","0.71","106/4",
"4142","國光生","0.00","105","-","2.20","106/4",
"4144","康聯-KY","2.24","106","13.97","1.57","106/4",
"4148","全宇生技-KY","1.80","106","29.17","4.62","106/4",
"4155","訊映","4.71","106","18.64","1.96","106/4",
"4164","承業醫","3.12","106","-","1.00","106/4",
"4190","佐登-KY","3.06","106","27.38","3.41","106/4",
"4306","炎洲","3.93","106","12.82","0.87","106/4",
"4414","如興","0.00","105","-","0.95","106/4",
"4426","利勤","2.00","106","34.01","2.51","106/4",
"4438","廣越","3.66","106","24.56","2.03","106/4",
"4526","東台","2.50","105","-","1.01","106/4",
"4532","瑞智","5.74","106","15.07","1.96","106/4",
"4536","拓凱","3.46","106","16.30","1.73","106/4",
"4545","銘鈺","1.35","106","176.90","1.57","106/4",
"4551","智伸科","3.47","106","25.00","5.16","106/4",
"4552","力達-KY","5.20","106","10.40","1.95","106/4",
"4555","氣立","2.42","106","34.32","2.10","106/4",
"4557","永新-KY","6.32","106","15.04","2.18","106/4",
"4560","強信-KY","3.30","106","24.34","3.37","106/4",
"4562","穎漢","4.95","106","19.42","2.17","106/4",
"4566","時碩工業","3.90","106","18.52","2.22","106/4",
"4720","德淵","1.36","106","44.55","1.19","106/4",
"4722","國精化","5.87","106","10.98","1.39","106/4",
"4725","信昌化","0.00","105","-","2.24","106/4",
"4737","華廣","6.65","106","23.96","1.72","106/4",
"4739","康普","2.22","106","27.48","3.95","106/4",
"4746","台耀","3.12","106","24.98","1.49","106/4",
"4755","三福化","5.04","106","12.11","1.58","106/4",
"4763","材料-KY","3.91","106","34.59","4.71","106/4",
"4764","雙鍵","4.05","106","12.96","2.37","106/4",
"4807","日成-KY","4.30","106","20.96","2.68","106/4",
"4904","遠傳","4.77","106","23.60","3.67","106/4",
"4906","正文","3.75","106","28.11","0.92","106/4",
"4912","聯德控股-KY","1.53","106","21.59","4.37","106/4",
"4915","致伸","5.15","106","13.44","2.43","106/4",
"4916","事欣科","2.61","106","36.18","2.51","106/4",
"4919","新唐","3.62","106","20.78","3.91","106/4",
"4927","泰鼎-KY","5.67","105","35.93","0.64","106/4",
"4930","燦星網","2.40","105","-","0.41","106/4",
"4934","太極","0.00","105","-","0.83","106/4",
"4935","茂林-KY","8.13","105","17.83","0.80","106/4",
"4938","和碩","5.57","106","12.78","1.29","106/4",
"4942","嘉彰","5.14","106","13.34","0.50","106/4",
"4943","康控-KY","1.81","106","26.93","7.91","106/4",
"4952","凌通","7.45","105","14.23","2.39","106/4",
"4956","光鋐","0.00","105","33.95","1.02","106/4",
"4958","臻鼎-KY","4.96","106","10.34","1.21","106/4",
"4960","奇美材","0.00","105","-","0.68","106/4",
"4968","立積","2.12","106","29.73","4.16","106/4",
"4976","佳凌","0.00","105","471.50","3.27","106/4",
"4977","眾達-KY","5.47","105","19.57","3.24","106/4",
"4984","科納-KY","9.05","105","-","1.50","106/4",
"4994","傳奇","0.00","105","-","4.39","106/4",
"4999","鑫禾","5.85","106","9.83","1.23","106/4",
"5007","三星","5.09","106","15.34","2.83","106/4",
"5203","訊連","2.73","106","22.41","1.41","106/4",
"5215","科嘉-KY","4.08","106","40.83","0.76","106/4",
"5225","東科-KY","2.55","106","13.48","1.10","106/4",
"5234","達興材料","4.80","106","18.52","3.78","106/4",
"5243","乙盛-KY","5.46","106","14.64","1.07","106/4",
"5258","虹堡","1.96","106","25.50","1.02","106/4",
"5259","清惠","0.00","105","-","9.12","106/4",
"5264","鎧勝-KY","4.96","105","16.64","0.96","106/4",
"5269","祥碩","1.70","106","49.03","12.16","106/4",
"5284","jpp-KY","5.09","106","11.96","1.65","106/4",
"5285","界霖","3.44","106","23.48","3.73","106/4",
"5288","豐祥-KY","4.65","106","12.32","2.20","106/4",
"5305","敦南","4.09","106","21.87","1.59","106/4",
"5388","中磊","4.57","106","15.36","2.78","106/4",
"5434","崇越","4.89","106","15.65","2.06","106/4",
"5469","瀚宇博","3.41","105","9.26","0.51","106/4",
"5471","松翰","4.08","106","26.06","2.10","106/4",
"5484","慧友","0.00","105","-","0.71","106/4",
"5515","建國","4.39","106","22.35","0.78","106/4",
"5519","隆大","4.03","105","10.42","0.71","106/4",
"5521","工信","1.29","105","-","1.41","106/4",
"5522","遠雄","7.62","106","13.67","0.65","106/4",
"5525","順天","6.56","106","14.08","1.02","106/4",
"5531","鄉林","4.17","105","19.05","0.96","106/4",
"5533","皇鼎","4.26","106","14.06","0.63","106/4",
"5534","長虹","7.22","106","8.20","1.82","106/4",
"5538","東明-KY","5.92","106","10.37","1.85","106/4",
"5607","遠雄港","0.98","106","12.97","0.96","106/4",
"5608","四維航","0.00","105","-","0.63","106/4",
"5706","鳳凰","8.30","106","13.34","2.00","106/4",
"5871","中租-KY","3.81","106","13.74","2.47","106/4",
"5880","合庫金","6.09","106","14.74","1.05","106/4",
"5906","台南-KY","0.00","105","260.00","1.82","106/4",
"5907","大洋-KY","4.77","106","13.90","0.49","106/4",
"6005","群益證","7.96","106","8.50","0.78","106/4",
"6024","群益期","4.64","106","13.55","2.14","106/4",
"6108","競國","5.48","106","14.42","1.08","106/4",
"6112","聚碩","5.81","106","12.29","1.68","106/4",
"6115","鎰勝","6.64","106","18.66","1.68","106/4",
"6116","彩晶","5.35","106","4.52","0.72","106/4",
"6117","迎廣","0.00","105","5.80","0.95","106/4",
"6120","達運","1.20","105","40.34","1.30","106/4",
"6128","上福","1.29","106","7.44","1.75","106/4",
"6131","悠克","0.00","105","11.04","1.61","106/4",
"6133","金橋","2.43","106","49.05","0.78","106/4",
"6136","富爾特","7.41","106","14.13","0.95","106/4",
"6139","亞翔","4.04","106","13.74","1.10","106/4",
"6141","柏承","1.60","106","19.14","2.26","106/4",
"6142","友勁","7.16","105","-","0.72","106/4",
"6145","勁永","0.00","105","-","1.23","106/4",
"6152","百一","0.00","105","-","0.70","106/4",
"6153","嘉聯益","0.48","106","590.71","1.78","106/4",
"6155","鈞寶","2.24","106","40.20","1.27","106/4",
"6164","華興","3.60","106","30.00","0.89","106/4",
"6165","捷泰","0.00","105","-","1.92","106/4",
"6166","凌華","2.51","106","33.35","2.81","106/4",
"6168","宏齊","4.99","106","18.06","1.48","106/4",
"6172","互億","0.00","105","-","1.30","106/4",
"6176","瑞儀","6.15","105","11.14","1.46","106/4",
"6177","達麗","6.09","105","7.40","1.81","106/4",
"6183","關貿","4.50","106","19.59","2.38","106/4",
"6184","大豐電","6.22","106","16.96","1.41","106/4",
"6189","豐藝","6.20","106","14.82","1.48","106/4",
"6191","精成科","3.11","105","15.86","0.56","106/4",
"6192","巨路","5.42","106","12.85","1.52","106/4",
"6196","帆宣","4.37","106","15.50","1.97","106/4",
"6197","佳必琪","5.75","106","13.23","1.15","106/4",
"6201","亞弘電","6.72","106","13.59","1.17","106/4",
"6202","盛群","5.44","106","18.41","4.18","106/4",
"6205","詮欣","4.22","106","14.97","1.23","106/4",
"6206","飛捷","5.56","106","15.68","2.73","106/4",
"6209","今國光","1.44","105","-","1.62","106/4",
"6213","聯茂","4.35","106","17.32","2.96","106/4",
"6214","精誠","7.92","106","13.17","1.27","106/4",
"6215","和椿","2.78","106","34.29","1.57","106/4",
"6216","居易","7.28","106","12.11","1.64","106/4",
"6224","聚鼎","4.72","106","15.49","2.50","106/4",
"6225","天瀚","0.00","105","-","75.00","106/4",
"6226","光鼎","1.23","106","64.87","0.93","106/4",
"6230","超眾","4.41","106","15.46","2.15","106/4",
"6235","華孚","1.66","106","36.20","1.37","106/4",
"6239","力成","4.74","106","12.63","1.94","106/4",
"6243","迅杰","0.00","105","-","1.73","106/4",
"6251","定穎","0.00","105","330.67","0.66","106/4",
"6257","矽格","4.90","106","13.46","1.58","106/4",
"6269","台郡","4.66","105","9.64","1.65","106/4",
"6271","同欣電","5.04","106","20.20","1.89","106/4",
"6277","宏正","5.66","106","15.97","3.21","106/4",
"6278","台表科","4.72","106","10.44","0.73","106/4",
"6281","全國電","6.17","106","14.18","2.70","106/4",
"6282","康舒","4.37","106","34.33","1.38","106/4",
"6283","淳安","2.44","105","157.69","4.04","106/4",
"6285","啟碁","5.13","106","13.50","1.96","106/4",
"6289","華上","0.00","105","-","4.95","106/4",
"6405","悅城","2.11","106","74.06","0.82","106/4",
"6409","旭隼","3.54","106","32.60","10.64","106/4",
"6412","群電","5.17","106","14.57","3.03","106/4",
"6414","樺漢","1.84","106","32.95","5.45","106/4",
"6415","矽力-KY","0.97","106","30.08","5.15","106/4",
"6422","君耀-KY","5.50","106","12.98","1.69","106/4",
"6431","光麗-KY","0.00","105","-","1.48","106/4",
"6442","光聖","5.28","106","53.31","1.20","106/4",
"6443","元晶","0.00","105","-","1.05","106/4",
"6449","鈺邦","3.00","105","23.35","2.98","106/4",
"6451","訊芯-KY","3.43","105","150.00","3.08","106/4",
"6452","康友-KY","2.35","105","31.84","4.45","106/4",
"6456","GIS-KY","2.42","105","8.08","2.29","106/4",
"6464","台數科","4.29","106","22.75","2.19","106/4",
"6477","安集","1.84","106","25.11","1.37","106/4",
"6504","南六","2.81","106","21.45","4.04","106/4",
"6505","台塑化","5.27","106","14.19","3.34","106/4",
"6525","捷敏-KY","4.61","106","14.74","3.05","106/4",
"6531","愛普","2.15","105","26.30","2.54","106/4",
"6533","晶心科","0.00","106","333.02","6.21","106/4",
"6541","泰福-KY","0.00","105","-","5.95","106/4",
"6552","易華電","0.54","106","1,380.00","3.23","106/4",
"6573","虹揚-KY","1.80","106","19.82","2.62","106/4",
"6579","研揚","5.58","106","16.23","2.17","106/4",
"6581","鋼聯","4.20","106","16.69","5.55","106/4",
"6582","申豐","6.01","106","17.58","1.94","106/4",
"6591","動力-KY","2.13","106","25.70","2.50","106/4",
"6605","帝寶","2.97","106","13.96","1.15","106/4",
"6625","必應","1.56","106","47.28","4.70","106/4",
"8011","台通","2.82","105","56.32","0.85","106/4",
"8016","矽創","6.31","106","12.03","2.25","106/4",
"8021","尖點","1.98","106","13.50","0.73","106/4",
"8033","雷虎","0.00","105","-","2.18","106/4",
"8039","台虹","4.74","105","11.97","1.24","106/4",
"8046","南電","1.63","106","-","0.64","106/4",
"8070","長華","7.36","106","10.96","1.66","106/4",
"8072","陞泰","2.36","106","-","0.71","106/4",
"8081","致新","6.57","106","18.51","1.52","106/4",
"8101","華冠","0.00","105","-","0.59","106/4",
"8103","瀚荃","3.48","106","13.86","0.96","106/4",
"8105","凌巨","1.14","106","12.81","0.91","106/4",
"8110","華東","1.81","105","10.74","0.71","106/4",
"8112","至上","8.76","106","8.45","1.69","106/4",
"8114","振樺電","6.18","105","13.39","3.53","106/4",
"8131","福懋科","7.40","106","10.73","1.35","106/4",
"8150","南茂","1.28","106","6.64","1.09","106/4",
"8163","達方","6.47","106","14.93","1.08","106/4",
"8201","無敵","0.00","105","-","1.23","106/4",
"8210","勤誠","6.13","106","12.87","2.01","106/4",
"8213","志超","5.15","105","10.28","0.75","106/4",
"8215","明基材","4.90","106","11.19","1.42","106/4",
"8222","寶一","1.50","106","49.88","1.55","106/4",
"8249","菱光","6.10","105","15.91","0.98","106/4",
"8261","富鼎","1.66","106","56.46","1.69","106/4",
"8271","宇瞻","6.47","106","10.00","1.58","106/4",
"8341","日友","2.78","106","30.73","8.87","106/4",
"8374","羅昇","1.64","106","15.10","1.78","106/4",
"8404","百和興業-KY","2.22","106","35.24","3.26","106/4",
"8411","福貞-KY","6.31","105","14.06","0.67","106/4",
"8422","可寧衛","5.97","105","15.38","3.87","106/4",
"8427","基勝-KY","0.88","106","93.02","1.01","106/4",
"8429","金麗-KY","4.68","105","9.49","0.55","106/4",
"8442","威宏-KY","3.72","105","-","2.45","106/4",
"8443","阿瘦","1.91","106","-","0.62","106/4",
"8454","富邦媒","2.79","106","31.64","6.84","106/4",
"8463","潤泰材","4.60","106","19.00","1.14","106/4",
"8464","億豐","3.60","106","22.66","6.81","106/4",
"8466","美吉吉-KY","7.38","106","10.85","2.09","106/4",
"8467","波力-KY","4.68","106","32.05","1.11","106/4",
"8473","山林水","4.40","105","23.33","1.74","106/4",
"8478","東哥遊艇","3.47","106","20.17","2.00","106/4",
"8480","泰昇-KY","3.45","106","20.39","3.55","106/4",
"8481","政伸","6.43","106","13.97","2.46","106/4",
"8488","吉源-KY","4.24","106","18.14","0.67","106/4",
"8497","聯廣","6.47","106","15.02","1.86","106/4",
"8499","鼎炫-KY","5.23","106","15.06","2.97","106/4",
"8926","台汽電","4.47","106","17.64","1.45","106/4",
"8940","新天地","0.00","105","-","1.17","106/4",
"8996","高力","2.11","106","75.08","2.36","106/4",
"9802","鈺齊-KY","6.32","106","11.78","1.53","106/4",
"9902","台火","0.00","105","985.00","0.83","106/4",
"9904","寶成","3.90","105","8.76","1.35","106/4",
"9905","大華","6.30","106","13.99","1.18","106/4",
"9906","欣巴巴","8.03","106","11.22","1.20","106/4",
"9907","統一實","3.80","106","34.61","1.13","106/4",
"9908","大台北","3.96","106","17.90","1.31","106/4",
"9910","豐泰","3.70","106","20.52","6.60","106/4",
"9911","櫻花","6.82","106","11.60","2.01","106/4",
"9912","偉聯","0.00","105","71.88","1.07","106/4",
"9914","美利達","1.50","106","49.81","3.43","106/4",
"9917","中保","4.45","106","17.98","3.92","106/4",
"9918","欣天然","3.60","106","23.62","2.05","106/4",
"9919","康那香","2.88","106","20.95","0.96","106/4",
"9921","巨大","2.33","106","27.37","2.87","106/4",
"9924","福興","5.42","106","12.64","1.38","106/4",
"9925","新保","5.14","106","15.75","1.48","106/4",
"9926","新海","3.98","106","19.93","2.50","106/4",
"9927","泰銘","7.45","106","8.40","1.59","106/4",
"9928","中視","0.00","105","-","1.15","106/4",
"9929","秋雨","0.00","105","597.50","1.85","106/4",
"9930","中聯資源","3.28","106","18.10","3.20","106/4",
"9931","欣高","3.70","106","19.17","1.87","106/4",
"9933","中鼎","6.47","106","13.57","2.12","106/4",
"9934","成霖","7.04","106","11.21","1.30","106/4",
"9935","慶豐富","0.00","105","16.94","2.59","106/4",
"9937","全國","4.91","106","18.33","2.66","106/4",
"9938","百和","4.08","106","13.51","2.64","106/4",
"9939","宏全","4.66","106","12.79","1.26","106/4",
"9940","信義","8.58","106","10.33","2.56","106/4",
"9941","裕融","4.47","106","15.60","3.42","106/4",
"9942","茂順","4.77","106","13.90","2.50","106/4",
"9943","好樂迪","7.31","106","11.52","2.10","106/4",
"9944","新麗","1.55","106","43.86","0.72","106/4",
"9945","潤泰新","5.59","106","5.34","1.23","106/4",
"9946","三發地產","3.62","105","9.14","0.72","106/4",
"9955","佳龍","0.00","105","-","0.72","106/4",
"9958","世紀鋼","0.35","105","268.75","6.90","106/4",
""
"說明： 

本網頁資料僅供研究參考用途，任何資料均不應視為對買賣證券之投資建議。


本網頁資料推計基礎如下：
1. 本益比 = 收盤價／每股參考稅後純益，其中每股參考稅後純益 = 該公司稅後參考純益／發行參考股數，當每股參考稅後純益為0或負數時，則不計算本益比。以上純益資料採用各上市公司於公開資訊觀測站過去已申報格式化之近滿4季財務報告為計算基礎。依據一般公認會計準則，若新設公司非於1月1日設立，該公司申報全年度合併財務報表採用自設立日起編製，未追溯自年初編製，當遇有上開公司在計算其「本益比」時，仍採用該公司申報資料計算。例如合庫金控(5880)於100年12月1日設立，在上市初期該公司「本益比」所採計之最近四季稅後純益為自成立以來迄至100年底之稅後純益計算，特此說明。 
2. 殖利率 = 每股股利／收盤價*100%，其中每股股利採用該公司近期每股配發之盈餘分配之現金股利(元/股) + 法定盈餘公積、資本公積發放之現金 (元/股) + 盈餘轉增資股票股利(元/股)為計算基礎。 
3. 股價淨值比 = 收盤價／每股參考淨值，其中每股參考淨值採用公開資訊觀測站公告之最近一季每股參考淨值，於102年5月中旬之前採用該公司最近一季淨值除以除權變動之採樣股數為推計基礎。
4. 股利年度：計算殖利率，所採用上市公司於公開資訊觀測站公告之股利分派年度。(如股利年度為105，表示該公司以105年之盈餘分派股利)
5. 財報年／季：計算本益比及股價淨值比，所參考上市公司於公開資訊觀測站申報之財務報告年度季別。
6. 本網頁所採用發行參考股數是以公開資訊觀測站公告最近一季財務報表之淨值及每股參考淨值為推計基礎，於102年5月中旬之前採用除權變動之採樣股數為推計基礎。上市公司於公開資訊觀測站未申報格式化之財務報告或未齊全者，不計算本益比及股價淨值比或以其申報及相關資料推計。以上本網頁所採用之財務及股利相關資料為計算當時公開資訊觀測站已公告申報格式化之資料，而非同期即時資訊，且不作回溯計算，謹此說明。當日若無收盤價則以本公司營業細則第58-3條第2項第2款之原則所決定價格替代。
7. 股利年度及財報年/季資訊自民國106年4月12日起提供。"

